Month,Craftland_Videos,Craftland_Views,Craftland_Likes,WOW_Videos,WOW_Views,WOW_Likes
2022-05,1,94098,3884,0,0,0
2022-09,1,29777,1386,0,0,0
2023-04,0,0,0,4,333853,1338
2023-06,0,0,0,3,35713,798
2023-07,0,0,0,4,312537,9752
2023-08,0,0,0,5,655610,3169
2023-09,0,0,0,3,600881,9166
2023-10,3,100242,1525,4,18970,509
2023-11,1,56656,923,1,42226,2378
2023-12,5,893300,31340,2,97196,3734
2024-01,0,0,0,5,1436999,3043
2024-02,1,264321,1738,1,5302,113
2024-03,0,0,0,3,112975,855
2024-04,0,0,0,4,1563415,42990
2024-05,0,0,0,2,11578,394
2024-06,0,0,0,1,6889,122
2024-07,0,0,0,1,475528,109
2024-10,0,0,0,2,1900599,222
2025-01,0,0,0,1,3893,141
2025-04,0,0,0,3,11019,365
2025-05,0,0,0,7,3507917,898
2025-07,0,0,0,2,977559,124
2025-08,0,0,0,3,1737459,322
2025-09,0,0,0,2,442762,157
2025-11,0,0,0,2,4291261,302
2025-12,0,0,0,3,4988383,305
2026-01,0,0,0,1,143435,137
